"user_id","dist_rcpt_cnt","sum_total_sale","account_duration"
"6528a0a388a3a884364d94dc","3","6.25","495 days 10:59:18.496816"
"610a8541ca1fab5b417b5d33","3","10.97","1295 days 10:59:18.496816"
"62c09104baa38d1a1f6c260e","3","11.30","963 days 10:59:18.496816"
"62ffec490d9dbaff18c0a999","3","26.14","915 days 10:59:18.496816"
"5c366bf06d9819129dfa1118","3","12.20","2233 days 09:59:18.496816"
"61a58ac49c135b462ccddd1c","3","14.99","1177 days 09:59:18.496816"
"5ca54049adfcb4140b54e1bf","2","7.24","2149 days 10:59:18.496816"
"5c6c2998b06c0045a4fddc74","2","5.46","2192 days 09:59:18.496816"
"5b441360be53340f289b0795","2","10.33","2416 days 10:59:18.496816"
"5f6518d1bf3f5a43fdd0c9a5","2","11.22","1615 days 10:59:18.496816"
